name,id,teamcode,teamid,position
Calle Jarnkrok,8475714,SEA,55,C
Christian Jaros,8478868,NJD,1,D
Tristan Jarry,8477465,PIT,5,G
Seth Jarvis,8482093,CAR,12,C
Dmitrij Jaskin,8476436,ARI,53,R
Tanner Jeannot,8479661,NSH,18,L
Jan Jenik,8480890,ARI,53,R
Boone Jenner,8476432,CBJ,29,C
Nick Jensen,8475324,WSH,15,D
Ryan Johansen,8475793,NSH,18,C
Marcus Johansson,8475149,SEA,55,L
Jonas Johansson,8477992,FLA,13,G
Reese Johnson,8481147,CHI,16,C
Tyler Johnson,8474870,CHI,16,C
Erik Johnson,8473446,COL,21,D
Jack Johnson,8471677,COL,21,D
Andreas Johnsson,8477341,NJD,1,L
Ross Johnston,8477527,NYI,2,L
Henri Jokiharju,8480035,BUF,7,D
Caleb Jones,8478452,CHI,16,D
Zac Jones,8481708,NYR,3,D
Max Jones,8479368,ANA,24,L
Martin Jones,8474889,PHI,4,G
Seth Jones,8477495,CHI,16,D
Mathieu Joseph,8478472,TBL,14,R
Dakota Joshua,8478057,STL,19,C
Roman Josi,8474600,NSH,18,D
Tyson Jost,8479370,COL,21,C
Olli Juolevi,8479355,FLA,13,D
Nazem Kadri,8475172,COL,21,C
Kaapo Kahkonen,8478039,MIN,30,G
Kaapo Kakko,8481554,NYR,3,R
Arthur Kaliyev,8481560,LAK,26,R
David Kampf,8480144,TOR,10,C
Patrick Kane,8474141,CHI,16,R
Kasperi Kapanen,8477953,PIT,5,R
Kirill Kaprizov,8478864,MIN,30,L
William Karlsson,8476448,VGK,54,C
Erik Karlsson,8474578,SJS,28,D
Ondrej Kase,8478131,TOR,10,R
Zack Kassian,8475178,EDM,22,R
Boris Katchouk,8479383,TBL,14,L
Duncan Keith,8470281,EDM,22,D
Clayton Keller,8479343,ARI,53,R
Adrian Kempe,8477960,LAK,26,C
Michal Kempny,8479482,WSH,15,D
Alexander Kerfoot,8477021,TOR,10,C
Tanner Kero,8478528,DAL,25,C
Phil Kessel,8473548,ARI,53,R
Jujhar Khaira,8476915,CHI,16,L
Alex Killorn,8473986,TBL,14,L
Bryce Kindopp,8481815,ANA,24,R
Johannes Kinnvall,8482244,CGY,20,D
Joel Kiviranta,8481641,DAL,25,L
John Klingberg,8475906,DAL,25,D
Spencer Knight,8481519,FLA,13,G
Slater Koekkoek,8476886,EDM,22,D
Keegan Kolesar,8478434,VGK,54,R
Travis Konecny,8478439,PHI,4,R
Ilya Konovalov,8481709,EDM,22,G
Anze Kopitar,8471685,LAK,26,C
Joonas Korpisalo,8476914,CBJ,29,G
Mikko Koskinen,8475156,EDM,22,G
Klim Kostin,8480011,STL,19,C
Jesperi Kotkaniemi,8480829,CAR,12,C
Peyton Krebs,8481522,BUF,7,C
Chris Kreider,8475184,NYR,3,L
Torey Krug,8476792,STL,19,D
Dominik Kubalik,8477330,CHI,16,L
Nikita Kucherov,8476453,TBL,14,R
Darcy Kuemper,8475311,COL,21,G
Dean Kukan,8478567,CBJ,29,D
Brett Kulak,8476967,MTL,8,D
Dmitry Kulikov,8475179,MIN,30,D
Luke Kunin,8479316,NSH,18,C
Janne Kuokkanen,8479511,NJD,1,L
Rasmus Kupari,8480845,LAK,26,C
Sean Kuraly,8476374,CBJ,29,C
Philipp Kurashev,8480798,CHI,16,C
Evgeny Kuznetsov,8475744,WSH,15,C
Oliver Kylington,8478430,CGY,20,D
Jordan Kyrou,8479385,STL,19,C
Kevin Labanc,8478099,SJS,28,R
Tanner Laczynski,8479550,PHI,4,C
Andrew Ladd,8471217,ARI,53,L
Sam Lafferty,8478043,PIT,5,R
Alexis Lafrenière,8482109,NYR,3,L
Maxime Lagace,8476509,TBL,14,G
William Lagesson,8478021,EDM,22,D
Patrik Laine,8479339,CBJ,29,L
Juho Lammikko,8477996,VAN,23,L
Gabriel Landeskog,8476455,COL,21,L
Kevin Lankinen,8480947,CHI,16,G
Dylan Larkin,8477946,DET,17,C
Adam Larsson,8476457,SEA,55,D
Johan Larsson,8475728,ARI,53,L
Scott Laughton,8476872,PHI,4,C
Jeremy Lauzon,8478468,SEA,55,D
Curtis Lazar,8477508,BOS,6,C
Brett Leason,8481517,WSH,15,R
Nick Leddy,8475181,DET,17,D
Anders Lee,8475314,NYI,2,L
Artturi Lehkonen,8477476,MTL,8,L
Robin Lehner,8475215,VGK,54,G
Brendan Lemieux,8477962,LAK,26,L
Jake Leschyshyn,8479991,VGK,54,C
Kris Letang,8471724,PIT,5,D
Trevor Lewis,8473453,CGY,20,C
Timothy Liljegren,8480043,TOR,10,D
Kole Lind,8479986,SEA,55,R
Oskar Lindblom,8478067,PHI,4,L
Esa Lindell,8476902,DAL,25,D
Ryan Lindgren,8479324,NYR,3,D
Hampus Lindholm,8476854,ANA,24,D
Elias Lindholm,8477496,CGY,20,C
Gustav Lindstrom,8480184,DET,17,D
Bryan Little,8473412,WPG,52,C
Blake Lizotte,8481481,LAK,26,C
Ryan Lomberg,8479066,FLA,13,L
Steven Lorentz,8478904,CAR,12,C
Adam Lowry,8476392,WPG,52,C
Milan Lucic,8473473,CGY,20,L
Matt Luff,8479644,NSH,18,R
Anton Lundell,8482113,FLA,13,C
Isac Lundestrom,8480806,ANA,24,C
Nils Lundkvist,8480878,NYR,3,D
Eetu Luostarinen,8480185,FLA,13,C
Ukko-Pekka Luukkonen,8480045,BUF,7,G
Ilya Lyubushkin,8480950,ARI,53,D
Kurtis MacDermid,8477073,COL,21,D
Jacob MacDonald,8479439,COL,21,D
Zack MacEwen,8479772,PHI,4,C
Nathan MacKinnon,8477492,COL,21,C
Matias Maccelli,8481711,ARI,53,L
Josh Mahura,8479372,ANA,24,D
Cale Makar,8480069,COL,21,D
Mikhail Maltsev,8479573,COL,21,L
Maxim Mamin,8479553,FLA,13,C
Andrew Mangiapane,8478233,CGY,20,L
Josh Manson,8476312,ANA,24,D
Brad Marchand,8473419,BOS,6,L
Jonathan Marchessault,8476539,VGK,54,C
Mason Marchment,8478975,FLA,13,L
John Marino,8478507,PIT,5,D
Jacob Markstrom,8474593,CGY,20,G
Mitchell Marner,8478483,TOR,10,R
Pat Maroon,8474034,TBL,14,L
Matt Martin,8474709,NYI,2,L
Alec Martinez,8474166,VGK,54,D
Jordan Martinook,8476921,CAR,12,L
Mike Matheson,8476875,PIT,5,D
Stefan Matteau,8476870,COL,21,C
Auston Matthews,8479318,TOR,10,C
Scott Mayfield,8476429,NYI,2,D
Gerry Mayhew,8479933,PHI,4,C
Dysin Mayo,8478062,ARI,53,D
Charlie McAvoy,8479325,BOS,6,D
Jake McCabe,8476931,CHI,16,D
Jared McCann,8477955,SEA,55,L
Michael McCarron,8477446,NSH,18,R
Connor McDavid,8478402,EDM,22,C
